Property_ID;Owner_Name;Years_Owner
1;Propietario_1;2
2;Propietario_2;3
3;Propietario_3;4
4;Propietario_4;5
5;Propietario_5;6
6;Propietario_6;7
7;Propietario_7;8
8;Propietario_8;9
9;Propietario_9;10
10;Propietario_10;11
11;Propietario_11;12
12;Propietario_12;13
13;Propietario_13;14
14;Propietario_14;15
15;Propietario_15;1
16;Propietario_16;2
17;Propietario_17;3
18;Propietario_18;4
19;Propietario_19;5
20;Propietario_20;6
21;Propietario_21;7
22;Propietario_22;8
23;Propietario_23;9
24;Propietario_24;10
25;Propietario_25;11
26;Propietario_26;12
27;Propietario_27;13
28;Propietario_28;14
29;Propietario_29;15
30;Propietario_30;1
31;Propietario_31;2
32;Propietario_32;3
33;Propietario_33;4
34;Propietario_34;5
35;Propietario_35;6
36;Propietario_36;7
37;Propietario_37;8
38;Propietario_38;9
39;Propietario_39;10
40;Propietario_40;11
41;Propietario_41;12
42;Propietario_42;13
43;Propietario_43;14
44;Propietario_44;15
45;Propietario_45;1
46;Propietario_46;2
47;Propietario_47;3
48;Propietario_48;4
49;Propietario_49;5
50;Propietario_50;6
51;Propietario_51;7
